path,youtube_id,channel_slug,channel_url,host,guest,threads,class,dedup_action,target_prefix,needs_rename,notes
source-archive/statecraft/2025-07-18/source-dialogue-works-col-larry-wilkerson-and-chas-freeman-ww3-imminent-shocking-signs-we-re-on-the-brink-of-global-war-2025-07-18.md,,dialogue-works,https://www.youtube.com/@DialogueWorks01/videos,Nima Alkhorshid,,freeman,dw-solo,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-07-20/source-dialogue-works-iran-russia-china-unleash-epic-counterstrike-against-the-west-alex-krainer-2025-07-20.md,,dialogue-works,https://www.youtube.com/@DialogueWorks01/videos,Nima Alkhorshid,Alex Krainer,dialogue-works,dw-host,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-07-20/source-dialogue-works-israel-wont-survive-next-war-with-iran-yemen-proved-it-larry-c-johnson-col-larry-wilkerson-2025-07-20.md,,dialogue-works,https://www.youtube.com/@DialogueWorks01/videos,Nima Alkhorshid,Larry C. Johnson; Lawrence Wilkerson,dialogue-works,dw-host,keep,source-dialogue-works,False,spelling:display-name
source-archive/statecraft/2025-07-24/source-dialogue-works-martin-armstrong-nato-plans-massive-troop-surge-into-ukraine-2025-07-24.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Martin A. Armstrong,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-07-26/source-dialogue-works-amb-chas-freeman-and-trita-parsi-how-the-iran-israel-war-changed-everything-overnight-2025-07-26.md,,dialogue-works,https://www.youtube.com/@DialogueWorks01/videos,Nima Alkhorshid,,freeman,dw-solo,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-07-30/source-dialogue-works-alastair-crooke-alastair-crooke-two-fronts-no-escape-collapse-is-spreading-fast-2025-07-30.md,,,,Nima Alkhorshid,Alastair Crooke,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-08-01/source-dialogue-works-amb-chas-freeman-gaza-s-silent-hell-genocide-and-starvation-in-real-time-2025-08-01.md,,dialogue-works,https://www.youtube.com/@DialogueWorks01/videos,Nima Alkhorshid,Chas Freeman,freeman,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-08-06/source-dialogue-works-ray-mcgovern-graham-e-fuller-who-is-trump-2-0-2025-08-06.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Ray McGovern,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-08-08/source-dialogue-works-amb-chas-freeman-trump-s-next-move-does-he-even-know-2025-08-08.md,,dialogue-works,https://www.youtube.com/@DialogueWorks01/videos,Nima Alkhorshid,Chas Freeman,freeman,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
source-archive/statecraft/2025-08-08/source-dialogue-works-larry-c-johnson-col-larry-wilkerson-hezbollah-rejects-iran-and-russia-push-back-2025-08-08.md,,dialogue-works,https://www.youtube.com/@dialogueworks01/videos,Nima Alkhorshid,Larry C. Johnson; Col. Larry Wilkerson,alkhorshid,dw-host,keep,source-dialogue-works,False,opening:nima-host; spelling:display-name
